day	Anno	celltype	UMAP_1	UMAP_2	Arid3b	Bcl11a	Cdx1	Cdx2	Cdx4	Dlx5	Etv4	Evx1	Foxb1	Foxc1	Foxc2	Foxf1	Gata4	Gata6	Gbx2	Gtf3a	Hand1	Hes3	Hes7	Hoxa1	Hoxa2	Hoxa3	Hoxa5	Hoxa7	Hoxb1	Hoxb2	Hoxb4	Hoxb6	Hoxb7	Hoxb8	Hoxb9	Hoxc4	Hoxc6	Hoxc8	Hoxc9	Hoxd1	Hoxd4	Irx1	Irx3	Irx5	Isl1	Jun	Jund	Klf5	Lef1	Lhx1	Lin28a	Lin28b	Meis2	Mesp1	Mesp2	Msx1	Mycn	Nkx1-2	Nr6a1	Otx2	Pbx1	Pbx3	Peg3	Pin1	Pknox2	Pou3f1	Pou5f1	Prrx2	Rarg	Rxrg	Snai1	Sox2	Sox3	Sp5	Sp6	Sp8	T	Tbx6	Tcf7	Tcf7l1	Tlx2	Tsc22d1	Twist1	Ybx1	Zfp428	Zfp503	Zfp703	Zic2	Zic3
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-5.4	2.07	2.5	0	2.9	3.4	0	0	0	1.9	0	0	0	0	0	0	0	1.9	1.9	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	3.6	0	0	0	2.9	0	0	0	3.7	1.9	0	0	1.9	1.9	2.9	3.7	0	0	4.6	0	1.9	1.9	3.4	0	0	4.1	0	1.9	4.8	3.6	1.9	0	0	3.4	0	6	2.9	0	1.9	0	1.9
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.68	2.03	0	0	4.2	3.5	0	0	3.5	0	0	0	0	0	0	0	3.5	0	0	2.8	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	3.5	0	2.8	0	0	0	3.9	0	0	0	0	0	0	0	0	0	3.5	0	0	0	4.4	0	0	0	2.8	0	0	2.8	0	2.8	4.4	0	3.5	0	0	3.9	0	5.7	3.5	0	0	0	2.8
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.3	-1.44	0	0	3.2	3.6	0	0	0	3.2	1.9	0	0	0	0	0	1.9	2.9	0	0	2.9	1.9	1.9	0	0	0	1.9	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	2.9	0	2.5	0	0	1.9	1.9	0	0	2.5	2.5	2.9	1.9	0	0	0	2.5	3.6	0	0	4.5	0	0	1.9	0	0	0	3.6	0	0	2.9	0	0	1.9	0	1.9	0	6.1	3.7	0	0	0	1.9
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.66	-2	0	2	2	4	0	0	0	3	0	0	0	2	0	0	0	2.6	0	0	0	2	2	0	0	0	0	3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	2	0	2.6	0	0	2	2.6	3	0	0	0	0	2	2.6	0	0	4.2	0	2	2	0	0	0	2.6	0	0	0	0	2	0	0	3.5	0	5.9	3	0	0	0	2.6
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.73	-2.14	1.9	0	3.4	3.4	0	0	0	0	1.9	0	0	0	0	0	1.9	1.9	0	0	0	1.9	1.9	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	2.9	2.5	0	1.9	0	1.9	1.9	1.9	0	0	3.2	2.9	2.9	0	0	0	1.9	3.2	3.7	0	0	4.2	0	0	2.5	0	0	0	2.9	0	0	4.6	0	2.9	0	0	1.9	0	6.1	3.4	0	0	0	1.9
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.53	-2.68	0	0	1.8	3.4	0	0	0	0	0	0	0	0	0	0	0	3	1.8	0	0	1.8	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	1.8	1.8	1.8	0	0	0	1.8	0	0	2.4	3.2	1.8	1.8	0	1.8	0	2.4	3.7	0	0	4.4	0	2.4	1.8	0	0	0	3.2	1.8	0	1.8	0	0	0	1.8	2.4	0	5.8	3.8	0	0	0	1.8
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.98	-1.35	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	2.7	0	0	0	2.7	0	0	0	0	2.7	3.4	0	0	0	0	0	2.7	2.7	0	0	4	0	2.7	0	0	0	0	0	0	0	0	0	2.7	0	0	3.4	0	5.7	3.4	0	0	0	0
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.08	-2.76	0	0	0	4.1	0	0	0	2.8	0	0	0	0	0	0	0	0	2.8	0	0	2.8	0	0	0	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	3.9	0	0	0	2.8	2.8	0	3.9	0	0	0	0	0	0	3.9	0	0	0	3.5	0	0	0	0	0	0	2.8	0	0	4.1	0	0	0	0	0	0	5.8	0	0	0	0	2.8
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.39	3.72	2	0	0	2	0	0	0	2	2.6	0	0	0	0	0	0	2	2	0	0	2	2	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	2.6	2	2	2	2.6	0	2.6	3.5	0	0	5.2	0	2	2.6	0	0	0	3	0	0	4.9	2	0	0	0	2.6	0	6.2	3.3	0	2.6	0	2.6
E7.5	E75_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.23	-2.06	1.9	0	0	3.1	0	1.9	1.9	2.9	0	0	0	0	0	0	0	1.9	1.9	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	1.9	0	1.9	0	3.1	0	1.9	0	0	3.9	2.9	0	0	0	2.5	0	3.5	3.7	0	0	4.4	0	0	1.9	0	0	0	2.5	0	1.9	3.1	1.9	1.9	1.9	0	2.9	0	5.9	3.5	0	0	0	0
